Plot Title: HNT Field,,,,,,
#,"Date Time, GMT-05:00","Temp, øC (LGR S/N: 20042964, SEN S/N: 20042964)","RH, % (LGR S/N: 20042964, SEN S/N: 20042964)",Host Connected (LGR S/N: 20042964),Stopped (LGR S/N: 20042964),End Of File (LGR S/N: 20042964)
1,6/1/2018 0:02,25.895,82.441,,,
2,6/1/2018 0:07,25.385,82.586,,,
3,6/1/2018 0:12,25.021,83.131,,,
4,6/1/2018 0:17,24.731,84.085,,,
5,6/1/2018 0:22,25.021,84.967,,,
6,6/1/2018 0:27,25.118,83.747,,,
7,6/1/2018 0:32,24.755,83.865,,,
8,6/1/2018 0:37,24.9,84.405,,,
9,6/1/2018 0:42,24.973,83.659,,,
10,6/1/2018 0:47,24.658,84.689,,,
11,6/1/2018 0:52,24.803,84.411,,,
12,6/1/2018 0:57,24.537,84.886,,,
13,6/1/2018 1:02,24.731,84.649,,,
14,6/1/2018 1:07,24.441,84.133,,,
15,6/1/2018 1:12,24.103,84.676,,,
16,6/1/2018 1:17,24.248,85.662,,,
17,6/1/2018 1:22,24.151,84.771,,,
18,6/1/2018 1:27,23.886,85.272,,,
19,6/1/2018 1:32,23.717,86.712,,,
20,6/1/2018 1:37,24.127,86.026,,,
21,6/1/2018 1:42,24.272,85.891,,,
22,6/1/2018 1:47,24.489,85.072,,,
23,6/1/2018 1:52,24.127,84.288,,,
24,6/1/2018 1:57,23.79,85.054,,,
25,6/1/2018 2:02,23.525,85.637,,,
26,6/1/2018 2:07,23.333,86.039,,,
27,6/1/2018 2:12,23.189,86.145,,,
28,6/1/2018 2:17,23.021,86.69,,,
29,6/1/2018 2:22,23.141,87.99,,,
30,6/1/2018 2:27,23.213,86.123,,,
31,6/1/2018 2:32,23.237,87.654,,,
32,6/1/2018 2:37,23.237,85.906,,,
33,6/1/2018 2:42,23.021,86.135,,,
34,6/1/2018 2:47,23.141,86.468,,,
35,6/1/2018 2:52,23.045,86.001,,,
36,6/1/2018 2:57,22.733,86.041,,,
37,6/1/2018 3:02,22.637,87.127,,,
38,6/1/2018 3:07,22.781,86.024,,,
39,6/1/2018 3:12,22.637,86.629,,,
40,6/1/2018 3:17,22.805,86.391,,,
41,6/1/2018 3:22,22.685,87.028,,,
42,6/1/2018 3:27,22.949,86.424,,,
43,6/1/2018 3:32,22.805,85.668,,,
44,6/1/2018 3:37,22.565,85.891,,,
45,6/1/2018 3:42,22.373,86.347,,,
46,6/1/2018 3:47,22.278,86.601,,,
47,6/1/2018 3:52,22.254,86.319,,,
48,6/1/2018 3:57,22.493,87.038,,,
49,6/1/2018 4:02,22.421,86.302,,,
50,6/1/2018 4:07,22.302,86.662,,,
51,6/1/2018 4:12,22.397,88.201,,,
52,6/1/2018 4:17,22.997,87.653,,,
53,6/1/2018 4:22,22.829,85.2,,,
54,6/1/2018 4:27,22.517,85.88,,,
55,6/1/2018 4:32,22.206,86.086,,,
56,6/1/2018 4:37,22.158,86.352,,,
