"Plot Title: Field"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20042963, SEN S/N: 20042963)","RH, % (LGR S/N: 20042963, SEN S/N: 20042963)","Host Connected (LGR S/N: 20042963)","Stopped (LGR S/N: 20042963)","End Of File (LGR S/N: 20042963)"
1,05/16/18 04:12:13 PM,21.991,51.200,,,
2,05/16/18 04:17:13 PM,22.373,50.401,,,
3,05/16/18 04:22:13 PM,22.733,52.621,,,
4,05/16/18 04:27:13 PM,22.805,54.945,,,
5,05/16/18 04:32:13 PM,25.968,65.591,,,
6,05/16/18 04:37:13 PM,30.502,61.163,,,
7,05/16/18 04:42:13 PM,33.087,44.022,,,
8,05/16/18 04:47:13 PM,33.556,36.145,,,
9,05/16/18 04:52:13 PM,33.660,38.729,,,
10,05/16/18 04:57:13 PM,37.876,28.579,,,
11,05/16/18 05:02:13 PM,39.442,26.371,,,
12,05/16/18 05:07:13 PM,36.643,33.968,,,
13,05/16/18 05:12:13 PM,37.215,33.812,,,
14,05/16/18 05:17:13 PM,37.600,35.329,,,
15,05/16/18 05:22:13 PM,37.572,34.879,,,
16,05/16/18 05:27:13 PM,37.243,36.532,,,
17,05/16/18 05:32:13 PM,36.806,32.740,,,
18,05/16/18 05:37:13 PM,36.102,34.813,,,
19,05/16/18 05:42:13 PM,37.079,32.244,,,
20,05/16/18 05:47:13 PM,36.942,28.227,,,
21,05/16/18 05:52:13 PM,34.132,32.164,,,
22,05/16/18 05:57:13 PM,33.608,33.353,,,
23,05/16/18 06:02:13 PM,33.477,32.176,,,
24,05/16/18 06:07:13 PM,33.373,32.098,,,
25,05/16/18 06:12:13 PM,32.854,33.355,,,
26,05/16/18 06:17:13 PM,32.106,34.752,,,
27,05/16/18 06:22:13 PM,31.773,35.230,,,
28,05/16/18 06:27:13 PM,31.594,36.296,,,
29,05/16/18 06:32:13 PM,30.907,35.555,,,
30,05/16/18 06:37:13 PM,30.476,35.447,,,
31,05/16/18 06:42:13 PM,30.577,36.502,,,
32,05/16/18 06:47:13 PM,30.577,35.253,,,
33,05/16/18 06:52:13 PM,30.149,36.426,,,
34,05/16/18 06:57:13 PM,30.098,36.523,,,
35,05/16/18 07:02:13 PM,30.325,35.871,,,
36,05/16/18 07:07:13 PM,30.679,47.421,,,
37,05/16/18 07:12:13 PM,31.135,44.062,,,
38,05/16/18 07:17:13 PM,31.186,45.320,,,
39,05/16/18 07:22:13 PM,31.059,42.599,,,
40,05/16/18 07:27:13 PM,30.527,43.795,,,
41,05/16/18 07:32:13 PM,29.922,41.579,,,
42,05/16/18 07:37:13 PM,28.872,44.491,,,
43,05/16/18 07:42:13 PM,28.301,44.784,,,
44,05/16/18 07:47:13 PM,28.078,44.496,,,
45,05/16/18 07:52:13 PM,28.153,44.636,,,
46,05/16/18 07:57:13 PM,28.276,47.223,,,
47,05/16/18 08:02:13 PM,27.782,43.415,,,
48,05/16/18 08:07:13 PM,27.290,45.056,,,
49,05/16/18 08:12:13 PM,26.774,46.843,,,
50,05/16/18 08:17:13 PM,26.139,49.913,,,
51,05/16/18 08:22:13 PM,25.458,52.557,,,
52,05/16/18 08:27:13 PM,24.924,54.844,,,
53,05/16/18 08:32:13 PM,24.368,62.524,,,
54,05/16/18 08:37:13 PM,23.766,57.757,,,
55,05/16/18 08:42:13 PM,23.189,58.750,,,
56,05/16/18 08:47:13 PM,22.877,60.358,,,
57,05/16/18 08:52:13 PM,22.541,62.680,,,
58,05/16/18 08:57:13 PM,22.134,64.634,,,
59,05/16/18 09:02:13 PM,21.776,66.490,,,
60,05/16/18 09:07:13 PM,21.417,68.358,,,
61,05/16/18 09:12:13 PM,21.083,69.831,,,
62,05/16/18 09:17:13 PM,20.749,70.034,,,
63,05/16/18 09:22:13 PM,20.392,70.582,,,
64,05/16/18 09:27:13 PM,20.106,71.113,,,
65,05/16/18 09:32:13 PM,19.892,72.149,,,
66,05/16/18 09:37:13 PM,19.725,73.102,,,
67,05/16/18 09:42:13 PM,19.606,73.252,,,
68,05/16/18 09:47:13 PM,19.440,73.537,,,
69,05/16/18 09:52:13 PM,19.297,74.085,,,
70,05/16/18 09:57:13 PM,19.226,74.789,,,
71,05/16/18 10:02:13 PM,19.202,74.182,,,
72,05/16/18 10:07:13 PM,19.107,73.962,,,
73,05/16/18 10:12:13 PM,18.964,73.358,,,
74,05/16/18 10:17:13 PM,18.893,73.545,,,
75,05/16/18 10:22:13 PM,18.869,73.339,,,
76,05/16/18 10:27:13 PM,18.869,73.195,,,
77,05/16/18 10:32:13 PM,18.821,73.272,,,
78,05/16/18 10:37:13 PM,18.726,73.714,,,
79,05/16/18 10:42:13 PM,18.584,75.547,,,
80,05/16/18 10:47:13 PM,18.346,76.835,,,
81,05/16/18 10:52:13 PM,18.060,77.484,,,
82,05/16/18 10:57:13 PM,17.775,78.214,,,
83,05/16/18 11:02:13 PM,17.513,79.785,,,
84,05/16/18 11:07:13 PM,17.299,78.816,,,
85,05/16/18 11:12:13 PM,17.109,80.339,,,
86,05/16/18 11:17:13 PM,16.847,80.449,,,
87,05/16/18 11:22:13 PM,16.704,80.945,,,
88,05/16/18 11:27:13 PM,16.585,80.864,,,
89,05/16/18 11:32:13 PM,16.442,82.737,,,
90,05/16/18 11:37:13 PM,16.394,81.845,,,
91,05/16/18 11:42:13 PM,16.228,84.058,,,
92,05/16/18 11:47:13 PM,16.132,83.654,,,
93,05/16/18 11:52:13 PM,16.037,84.778,,,
94,05/16/18 11:57:13 PM,15.870,85.120,,,
95,05/17/18 12:02:13 AM,15.798,84.560,,,
96,05/17/18 12:07:13 AM,15.751,84.739,,,
97,05/17/18 12:12:13 AM,15.846,86.414,,,
98,05/17/18 12:17:13 AM,16.132,85.805,,,
99,05/17/18 12:22:13 AM,16.228,85.610,,,
100,05/17/18 12:27:13 AM,16.108,85.691,,,
101,05/17/18 12:32:13 AM,15.942,86.112,,,
102,05/17/18 12:37:13 AM,15.751,86.418,,,
103,05/17/18 12:42:13 AM,15.608,86.950,,,
104,05/17/18 12:47:13 AM,15.536,87.095,,,
105,05/17/18 12:52:13 AM,15.488,86.653,,,
106,05/17/18 12:57:13 AM,15.369,87.270,,,
107,05/17/18 01:02:13 AM,15.393,86.846,,,
108,05/17/18 01:07:13 AM,15.273,86.844,,,
109,05/17/18 01:12:13 AM,15.034,87.056,,,
110,05/17/18 01:17:13 AM,14.747,88.511,,,
111,05/17/18 01:22:13 AM,14.699,89.084,,,
112,05/17/18 01:27:13 AM,14.723,90.202,,,
113,05/17/18 01:32:13 AM,14.699,89.376,,,
114,05/17/18 01:37:13 AM,14.652,89.841,,,
115,05/17/18 01:42:13 AM,14.580,90.114,,,
116,05/17/18 01:47:13 AM,14.484,91.249,,,
117,05/17/18 01:52:13 AM,14.580,92.373,,,
118,05/17/18 01:57:13 AM,14.723,92.357,,,
119,05/17/18 02:02:13 AM,14.843,91.916,,,
120,05/17/18 02:07:13 AM,14.723,90.466,,,
121,05/17/18 02:12:13 AM,14.604,92.771,,,
122,05/17/18 02:17:13 AM,14.604,93.318,,,
123,05/17/18 02:22:13 AM,14.604,92.954,,,
124,05/17/18 02:27:13 AM,14.580,93.052,,,
125,05/17/18 02:32:13 AM,14.580,92.791,,,
126,05/17/18 02:37:13 AM,14.508,92.355,,,
127,05/17/18 02:42:13 AM,14.412,92.278,,,
128,05/17/18 02:47:13 AM,14.316,92.411,,,
129,05/17/18 02:52:13 AM,14.220,92.647,,,
130,05/17/18 02:57:13 AM,14.148,92.733,,,
131,05/17/18 03:02:13 AM,14.101,92.617,,,
132,05/17/18 03:07:13 AM,13.981,92.534,,,
133,05/17/18 03:12:13 AM,13.909,93.244,,,
134,05/17/18 03:17:13 AM,14.005,93.813,,,
135,05/17/18 03:22:13 AM,13.981,93.729,,,
136,05/17/18 03:27:13 AM,13.885,93.445,,,
137,05/17/18 03:32:13 AM,13.789,93.938,,,
138,05/17/18 03:37:13 AM,13.813,94.306,,,
139,05/17/18 03:42:13 AM,13.741,93.874,,,
140,05/17/18 03:47:13 AM,13.644,93.513,,,
141,05/17/18 03:52:13 AM,13.500,93.242,,,
142,05/17/18 03:57:13 AM,13.404,93.217,,,
143,05/17/18 04:02:13 AM,13.308,93.115,,,
144,05/17/18 04:07:13 AM,13.356,96.188,,,
145,05/17/18 04:12:13 AM,13.644,96.060,,,
146,05/17/18 04:17:13 AM,13.620,95.388,,,
147,05/17/18 04:22:13 AM,13.596,95.125,,,
148,05/17/18 04:27:13 AM,13.524,94.694,,,
149,05/17/18 04:32:13 AM,13.356,94.907,,,
150,05/17/18 04:37:13 AM,13.308,94.561,,,
151,05/17/18 04:42:13 AM,13.236,94.465,,,
152,05/17/18 04:47:13 AM,13.236,94.465,,,
153,05/17/18 04:52:13 AM,13.212,94.458,,,
154,05/17/18 04:57:13 AM,13.284,94.477,,,
155,05/17/18 05:02:13 AM,13.284,94.477,,,
156,05/17/18 05:07:13 AM,13.284,94.451,,,
157,05/17/18 05:12:13 AM,13.187,94.349,,,
158,05/17/18 05:17:13 AM,13.139,94.259,,,
159,05/17/18 05:22:13 AM,13.091,94.272,,,
160,05/17/18 05:27:13 AM,13.067,94.215,,,
161,05/17/18 05:32:13 AM,12.971,94.370,,,
162,05/17/18 05:37:13 AM,12.778,94.396,,,
163,05/17/18 05:42:13 AM,12.778,94.653,,,
164,05/17/18 05:47:13 AM,12.681,94.525,,,
165,05/17/18 05:52:13 AM,12.488,95.089,,,
166,05/17/18 05:57:13 AM,12.416,95.121,,,
167,05/17/18 06:02:13 AM,12.367,94.904,,,
168,05/17/18 06:07:13 AM,12.343,95.280,,,
169,05/17/18 06:12:13 AM,12.440,95.918,,,
170,05/17/18 06:17:13 AM,12.416,94.865,,,
171,05/17/18 06:22:13 AM,12.343,94.693,,,
172,05/17/18 06:27:13 AM,12.319,94.584,,,
173,05/17/18 06:32:13 AM,12.367,94.545,,,
174,05/17/18 06:37:13 AM,12.536,94.641,,,
175,05/17/18 06:42:13 AM,12.705,94.660,,,
176,05/17/18 06:47:13 AM,13.163,95.216,,,
177,05/17/18 06:52:13 AM,14.652,95.866,,,
178,05/17/18 06:57:13 AM,16.228,91.738,,,
179,05/17/18 07:02:13 AM,17.632,83.582,,,
180,05/17/18 07:07:13 AM,18.940,78.967,,,
181,05/17/18 07:12:13 AM,20.035,75.295,,,
182,05/17/18 07:17:13 AM,20.273,72.397,,,
183,05/17/18 07:22:13 AM,19.868,73.535,,,
184,05/17/18 07:27:13 AM,19.987,72.661,,,
185,05/17/18 07:32:13 AM,20.988,70.518,,,
186,05/17/18 07:37:13 AM,21.919,66.515,,,
187,05/17/18 07:42:13 AM,22.973,64.446,,,
188,05/17/18 07:47:13 AM,24.296,64.579,,,
189,05/17/18 07:52:13 AM,25.142,58.897,,,
190,05/17/18 07:57:13 AM,25.555,55.531,,,
191,05/17/18 08:02:13 AM,26.139,55.679,,,
192,05/17/18 08:07:13 AM,27.069,55.026,,,
193,05/17/18 08:12:13 AM,27.980,51.052,,,
194,05/17/18 08:17:13 AM,27.757,53.637,,,
195,05/17/18 08:22:13 AM,28.624,51.298,,,
196,05/17/18 08:27:13 AM,29.471,50.156,,,
197,05/17/18 08:32:13 AM,29.096,47.096,,,
198,05/17/18 08:37:13 AM,28.599,47.911,,,
199,05/17/18 08:42:13 AM,28.822,46.510,,,
200,05/17/18 08:47:13 AM,29.646,47.164,,,
201,05/17/18 08:52:13 AM,29.696,45.276,,,
202,05/17/18 08:57:13 AM,29.296,47.576,,,
203,05/17/18 09:02:13 AM,29.346,48.167,,,
204,05/17/18 09:07:13 AM,29.071,51.422,,,
205,05/17/18 09:12:13 AM,29.496,49.707,,,
206,05/17/18 09:17:13 AM,28.997,47.896,,,
207,05/17/18 09:22:13 AM,28.375,49.176,,,
208,05/17/18 09:27:13 AM,28.301,53.044,,,
209,05/17/18 09:32:13 AM,28.648,50.081,,,
210,05/17/18 09:37:13 AM,29.096,51.522,,,
211,05/17/18 09:42:13 AM,28.798,47.060,,,
212,05/17/18 09:47:13 AM,28.004,54.528,,,
213,05/17/18 09:52:13 AM,28.822,50.168,,,
214,05/17/18 09:57:13 AM,29.722,48.636,,,
215,05/17/18 10:02:13 AM,30.502,50.969,,,
216,05/17/18 10:07:13 AM,31.339,45.437,,,
217,05/17/18 10:12:13 AM,32.003,46.042,,,
218,05/17/18 10:17:13 AM,32.312,42.339,,,
219,05/17/18 10:22:13 AM,32.440,46.193,,,
220,05/17/18 10:27:13 AM,32.260,42.334,,,
