Plot Title: Ambient HNT Field,,,,,,,,
#,"Date Time, GMT-05:00","Temp, øC (LGR S/N: 10689813, SEN S/N: 10689813)","RH, % (LGR S/N: 10689813, SEN S/N: 10689813)",Host Connected (LGR S/N: 10689813),Button Down (LGR S/N: 10689813),Button Up (LGR S/N: 10689813),Stopped (LGR S/N: 10689813),End Of File (LGR S/N: 10689813)
1,6/1/2018 0:02,20.13,80.931,,,,,
2,6/1/2018 0:07,19.963,80.94,,,,,
3,6/1/2018 0:12,19.844,81.031,,,,,
4,6/1/2018 0:17,19.702,81.381,,,,,
5,6/1/2018 0:22,19.583,81.649,,,,,
6,6/1/2018 0:27,19.297,81.488,,,,,
7,6/1/2018 0:32,19.131,81.76,,,,,
8,6/1/2018 0:37,19.083,82.306,,,,,
9,6/1/2018 0:42,19.154,82.679,,,,,
10,6/1/2018 0:47,19.297,83.063,,,,,
11,6/1/2018 0:52,19.321,83.062,,,,,
12,6/1/2018 0:57,19.297,83.063,,,,,
13,6/1/2018 1:02,19.131,82.97,,,,,
14,6/1/2018 1:07,19.035,83.072,,,,,
15,6/1/2018 1:12,19.059,83.472,,,,,
16,6/1/2018 1:17,18.964,83.577,,,,,
17,6/1/2018 1:22,18.774,83.583,,,,,
18,6/1/2018 1:27,18.607,83.588,,,,,
19,6/1/2018 1:32,18.512,83.797,,,,,
20,6/1/2018 1:37,18.417,84.009,,,,,
21,6/1/2018 1:42,18.512,84.328,,,,,
22,6/1/2018 1:47,18.631,84.545,,,,,
23,6/1/2018 1:52,18.607,84.545,,,,,
24,6/1/2018 1:57,18.56,84.546,,,,,
25,6/1/2018 2:02,18.488,84.548,,,,,
26,6/1/2018 2:07,18.465,84.659,,,,,
27,6/1/2018 2:12,18.298,84.552,,,,,
28,6/1/2018 2:17,18.084,84.447,,,,,
29,6/1/2018 2:22,18.06,84.667,,,,,
30,6/1/2018 2:27,18.155,84.89,,,,,
31,6/1/2018 2:32,18.155,85.004,,,,,
32,6/1/2018 2:37,17.965,85.007,,,,,
33,6/1/2018 2:42,17.894,85.123,,,,,
34,6/1/2018 2:47,17.894,85.123,,,,,
35,6/1/2018 2:52,17.656,85.242,,,,,
36,6/1/2018 2:57,17.323,85.131,,,,,
37,6/1/2018 3:02,17.156,85.134,,,,,
38,6/1/2018 3:07,17.394,85.362,,,,,
39,6/1/2018 3:12,17.608,85.476,,,,,
40,6/1/2018 3:17,17.489,85.478,,,,,
41,6/1/2018 3:22,17.394,85.479,,,,,
42,6/1/2018 3:27,17.252,85.481,,,,,
43,6/1/2018 3:32,17.275,85.599,,,,,
44,6/1/2018 3:37,17.299,85.599,,,,,
45,6/1/2018 3:42,17.204,85.719,,,,,
46,6/1/2018 3:47,17.133,85.72,,,,,
47,6/1/2018 3:52,17.109,85.72,,,,,
48,6/1/2018 3:57,16.99,85.841,,,,,
49,6/1/2018 4:02,16.847,85.843,,,,,
50,6/1/2018 4:07,16.966,85.842,,,,,
51,6/1/2018 4:12,17.061,85.963,,,,,
52,6/1/2018 4:17,17.085,85.962,,,,,
53,6/1/2018 4:22,17.204,85.962,,,,,
54,6/1/2018 4:27,17.18,86.085,,,,,
55,6/1/2018 4:32,16.918,85.964,,,,,
56,6/1/2018 4:37,17.014,86.086,,,,,
57,6/1/2018 4:42,16.918,86.086,,,,,
58,6/1/2018 4:47,16.585,86.088,,,,,
59,6/1/2018 4:52,16.299,86.09,,,,,
60,6/1/2018 4:57,16.18,86.091,,,,,
61,6/1/2018 5:02,16.561,86.212,,,,,
62,6/1/2018 5:07,16.704,86.212,,,,,
63,6/1/2018 5:12,16.656,86.337,,,,,
64,6/1/2018 5:17,16.609,86.337,,,,,
65,6/1/2018 5:22,16.609,86.337,,,,,
66,6/1/2018 5:27,16.585,86.337,,,,,
67,6/1/2018 5:32,16.442,86.338,,,,,
68,6/1/2018 5:37,16.156,86.339,,,,,
69,6/1/2018 5:42,15.798,86.34,,,,,
