"Plot Title: HDT"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10694965, SEN S/N: 10694965)","RH, % (LGR S/N: 10694965, SEN S/N: 10694965)","Safe Shutdown - Low Battery (LGR S/N: 10694965)","Stopped (LGR S/N: 10694965)","End Of File (LGR S/N: 10694965)"
1,11/17/18 12:36:16 PM,22.158,31.952,,,
2,11/17/18 12:51:16 PM,34.185,54.364,,,
3,11/17/18 01:06:16 PM,36.129,47.576,,,
4,11/17/18 01:21:16 PM,36.480,42.704,,,
5,11/17/18 01:36:16 PM,36.588,39.124,,,
6,11/17/18 01:51:16 PM,36.588,37.051,,,
7,11/17/18 02:06:16 PM,36.643,35.685,,,
8,11/17/18 02:21:16 PM,36.616,34.825,,,
9,11/17/18 02:36:16 PM,36.561,34.176,,,
10,11/17/18 02:51:16 PM,36.643,33.641,,,
11,11/17/18 03:06:16 PM,36.616,33.208,,,
12,11/17/18 03:21:16 PM,36.616,32.899,,,
13,11/17/18 03:36:16 PM,36.616,32.474,,,
14,11/17/18 03:51:16 PM,36.616,32.177,,,
15,11/17/18 04:06:16 PM,36.670,32.078,,,
16,11/17/18 04:21:16 PM,36.643,32.028,,,
17,11/17/18 04:36:16 PM,36.670,31.694,,,
18,11/17/18 04:51:16 PM,36.697,31.261,,,
19,11/17/18 05:06:16 PM,36.075,31.343,,,
20,11/17/18 05:21:16 PM,34.845,33.102,,,
21,11/17/18 05:36:16 PM,34.765,32.625,,,
22,11/17/18 05:51:16 PM,34.633,32.259,,,
23,11/17/18 06:06:16 PM,34.132,32.128,,,
24,11/17/18 06:21:16 PM,31.517,35.764,,,
25,11/17/18 06:36:16 PM,31.110,35.974,,,
26,11/17/18 06:51:16 PM,31.059,35.448,,,
27,11/17/18 07:06:16 PM,30.249,35.569,,,
28,11/17/18 07:21:16 PM,26.115,41.352,,,
29,11/17/18 07:36:16 PM,23.573,47.222,,,
30,11/17/18 07:51:16 PM,23.165,47.497,,,
31,11/17/18 08:06:16 PM,22.493,46.766,,,
32,11/17/18 08:21:16 PM,18.441,53.108,,,
33,11/17/18 08:36:16 PM,16.680,59.076,,,
34,11/17/18 08:51:16 PM,16.394,59.824,,,
35,11/17/18 09:06:16 PM,15.822,60.284,,,
36,11/17/18 09:21:16 PM,15.488,60.439,,,
37,11/17/18 09:36:16 PM,15.440,59.482,,,
38,11/17/18 09:51:16 PM,15.369,58.855,,,
39,11/17/18 10:06:16 PM,15.345,58.691,,,
40,11/17/18 10:21:16 PM,15.297,58.638,,,
41,11/17/18 10:36:16 PM,15.345,58.562,,,
42,11/17/18 10:51:16 PM,15.321,58.262,,,
43,11/17/18 11:06:16 PM,15.321,58.111,,,
44,11/17/18 11:21:16 PM,15.321,57.548,,,
45,11/17/18 11:36:16 PM,15.345,57.326,,,
46,11/17/18 11:51:16 PM,15.393,56.996,,,
47,11/18/18 12:06:16 AM,15.273,56.982,,,
48,11/18/18 12:21:16 AM,15.297,56.803,,,
49,11/18/18 12:36:16 AM,15.273,56.491,,,
50,11/18/18 12:51:16 AM,15.273,56.313,,,
51,11/18/18 01:06:16 AM,15.297,56.031,,,
52,11/18/18 01:21:16 AM,15.225,55.823,,,
53,11/18/18 01:36:16 AM,15.297,55.557,,,
54,11/18/18 01:51:16 AM,15.345,55.480,,,
55,11/18/18 02:06:16 AM,15.297,55.335,,,
56,11/18/18 02:21:16 AM,15.297,55.168,,,
57,11/18/18 02:36:16 AM,15.273,54.958,,,
58,11/18/18 02:51:16 AM,15.273,54.887,,,
59,11/18/18 03:06:16 AM,15.273,54.846,,,
60,11/18/18 03:21:16 AM,15.249,54.832,,,
61,11/18/18 03:36:16 AM,15.297,54.778,,,
62,11/18/18 03:51:16 AM,15.297,54.566,,,
63,11/18/18 04:06:16 AM,15.822,53.923,,,
64,11/18/18 04:21:16 AM,16.085,53.307,,,
65,11/18/18 04:36:16 AM,16.132,53.611,,,
66,11/18/18 04:51:16 AM,16.132,53.708,,,
67,11/18/18 05:06:16 AM,16.633,53.932,,,
68,11/18/18 05:21:16 AM,20.702,46.065,,,
69,11/18/18 05:36:16 AM,22.541,40.538,,,
70,11/18/18 05:51:16 AM,22.733,40.045,,,
71,11/18/18 06:06:16 AM,23.477,39.919,,,
72,11/18/18 06:21:16 AM,27.683,34.199,,,
73,11/18/18 06:36:16 AM,30.350,30.068,,,
74,11/18/18 06:51:16 AM,30.704,29.928,,,
75,11/18/18 07:06:16 AM,31.211,30.083,,,
76,11/18/18 07:21:16 AM,34.211,26.437,,,
77,11/18/18 07:36:16 AM,34.422,26.753,,,
78,11/18/18 07:51:16 AM,34.474,27.168,,,
79,11/18/18 08:06:16 AM,35.137,27.293,,,
80,11/18/18 08:21:16 AM,36.426,25.784,,,
81,11/18/18 08:36:16 AM,36.507,26.149,,,
82,11/18/18 08:51:16 AM,36.588,26.339,,,
83,11/18/18 09:06:16 AM,36.588,26.657,,,
84,11/18/18 09:21:16 AM,36.670,26.987,,,
85,11/18/18 09:36:16 AM,36.616,27.240,,,
86,11/18/18 09:51:16 AM,36.616,27.322,,,
87,11/18/18 10:06:16 AM,36.588,27.460,,,
88,11/18/18 10:21:16 AM,36.561,27.627,,,
89,11/18/18 10:36:16 AM,36.561,27.611,,,
90,11/18/18 10:51:16 AM,36.561,27.642,,,
91,11/18/18 11:06:16 AM,36.643,27.619,,,
92,11/18/18 11:21:16 AM,36.616,27.782,,,
93,11/18/18 11:36:16 AM,36.724,27.767,,,
94,11/18/18 11:51:16 AM,36.616,28.052,,,
95,11/18/18 12:06:16 PM,36.697,27.955,,,
96,11/18/18 12:21:16 PM,36.643,28.205,,,
97,11/18/18 12:36:16 PM,36.616,28.298,,,
98,11/18/18 12:51:16 PM,36.670,28.125,,,
99,11/18/18 01:06:16 PM,36.697,27.940,,,
100,11/18/18 01:21:16 PM,36.670,27.903,,,
101,11/18/18 01:36:16 PM,36.724,27.767,,,
102,11/18/18 01:51:16 PM,36.616,27.888,,,
103,11/18/18 02:06:16 PM,36.697,27.850,,,
104,11/18/18 02:21:16 PM,36.697,27.805,,,
105,11/18/18 02:36:16 PM,36.643,27.820,,,
106,11/18/18 02:51:16 PM,36.643,27.789,,,
107,11/18/18 03:06:16 PM,36.670,27.643,,,
108,11/18/18 03:21:16 PM,36.697,27.477,,,
109,11/18/18 03:36:16 PM,36.670,27.372,,,
110,11/18/18 03:51:16 PM,36.643,27.347,,,
111,11/18/18 04:06:16 PM,36.670,27.388,,,
