Plot Title: HDT,,,,,,
#,"Date Time, GMT-06:00","Temp, øC (LGR S/N: 10694967, SEN S/N: 10694967)","RH, % (LGR S/N: 10694967, SEN S/N: 10694967)",Host Connected (LGR S/N: 10694967),Stopped (LGR S/N: 10694967),End Of File (LGR S/N: 10694967)
1,12/10/2018 0:07,15.106,74.916,,,
2,12/10/2018 0:22,15.13,74.054,,,
3,12/10/2018 0:37,15.178,73.918,,,
4,12/10/2018 0:52,15.154,75.052,,,
5,12/10/2018 1:07,15.058,74.922,,,
6,12/10/2018 1:22,15.058,74.829,,,
7,12/10/2018 1:37,15.106,75.153,,,
8,12/10/2018 1:52,15.082,74.414,,,
9,12/10/2018 2:07,15.178,74.358,,,
10,12/10/2018 2:22,15.178,74.048,,,
11,12/10/2018 2:37,15.082,74.687,,,
12,12/10/2018 2:52,15.13,75.008,,,
13,12/10/2018 3:07,15.106,75.346,,,
14,12/10/2018 3:22,15.058,74.922,,,
15,12/10/2018 3:37,15.058,75.207,,,
16,12/10/2018 3:52,15.106,75.249,,,
17,12/10/2018 4:07,15.13,74.319,,,
18,12/10/2018 4:22,15.154,73.878,,,
19,12/10/2018 4:37,15.106,73.884,,,
20,12/10/2018 4:52,15.106,74.869,,,
21,12/10/2018 5:07,15.488,74.185,,,
22,12/10/2018 5:22,15.417,72.462,,,
23,12/10/2018 5:37,15.417,72.972,,,
24,12/10/2018 5:52,15.393,73.055,,,
25,12/10/2018 6:07,17.489,76.005,,,
26,12/10/2018 6:22,22.11,74.393,,,
27,12/10/2018 6:37,21.967,72.868,,,
28,12/10/2018 6:52,22.11,75.133,,,
29,12/10/2018 7:07,24.175,76.885,,,
30,12/10/2018 7:22,29.171,72.48,,,
31,12/10/2018 7:37,29.772,70.351,,,
32,12/10/2018 7:52,29.772,73.185,,,
33,12/10/2018 8:07,31.722,76.341,,,
34,12/10/2018 8:22,34.237,69.066,,,
35,12/10/2018 8:37,33.712,71.916,,,
36,12/10/2018 8:52,33.791,71.699,,,
37,12/10/2018 9:07,35.645,74.68,,,
38,12/10/2018 9:22,35.913,70.041,,,
39,12/10/2018 9:37,35.94,72.125,,,
40,12/10/2018 9:52,35.913,72.019,,,
41,12/10/2018 10:07,35.886,72.409,,,
42,12/10/2018 10:22,35.994,72.623,,,
43,12/10/2018 10:37,36.021,72.677,,,
44,12/10/2018 10:52,36.021,72.506,,,
45,12/10/2018 11:07,36.021,72.734,,,
46,12/10/2018 11:22,35.994,72.853,,,
47,12/10/2018 11:37,35.994,73.205,,,
48,12/10/2018 11:52,35.994,73.445,,,
49,12/10/2018 12:07,36.021,73.442,,,
